x,Cpl,Cpu
5.600000000000000533e-01,1.271658816568047301e-01,-5.319523809523808433e-01
5.700000000000000622e-01,1.269769148936170100e-01,-5.182884878048779065e-01
5.799999999999999600e-01,1.268173404255319159e-01,-5.046933841463414616e-01
5.899999999999999689e-01,1.267142621015348303e-01,-4.912482621951219652e-01
5.999999999999999778e-01,1.266277286135693292e-01,-4.778588056063375888e-01
6.099999999999999867e-01,1.265805309734513440e-01,-4.645376599634369885e-01
6.199999999999999956e-01,1.265566686320754863e-01,-4.513002193784278471e-01
6.300000000000000044e-01,1.265507724056603722e-01,-4.380941839220463541e-01
6.400000000000000133e-01,1.265858456098998275e-01,-4.249455846528624181e-01
6.500000000000000222e-01,1.266321483225426869e-01,-4.118161693057247885e-01
6.600000000000000311e-01,1.267027781047675161e-01,-3.987041108404384970e-01
6.700000000000000400e-01,1.267901118304885222e-01,-3.855866747868453293e-01
6.800000000000000488e-01,1.268960565038257937e-01,-3.724611875761266733e-01
6.900000000000000577e-01,1.270292705882352935e-01,-3.593125883069427373e-01
7.000000000000000666e-01,1.271730588235294168e-01,-3.461238611449451441e-01
7.099999999999999645e-01,1.273495294117646948e-01,-3.329082704019489247e-01
7.199999999999999734e-01,1.275435508524397354e-01,-3.195761144945189480e-01
7.299999999999999822e-01,1.277669488536155307e-01,-3.061900914076782776e-01
7.399999999999999911e-01,1.280219988242210505e-01,-2.926983180987203226e-01
7.500000000000000000e-01,1.282924279835390979e-01,-2.790627909811090879e-01
7.600000000000000089e-01,1.286141010575793109e-01,-2.653490060975609022e-01
7.700000000000000178e-01,1.289579365079364937e-01,-2.513794939024390218e-01
7.800000000000000266e-01,1.293577013521458041e-01,-2.372819463087248448e-01
7.900000000000000355e-01,1.298076425631981279e-01,-2.229866442953020444e-01
8.000000000000000444e-01,1.302955908289241682e-01,-2.083901587301587033e-01
8.100000000000000533e-01,1.308804938271604934e-01,-1.936398045204641705e-01
8.200000000000000622e-01,1.315037037037037060e-01,-1.784657055589491947e-01
8.300000000000000711e-01,1.322444444444444422e-01,-1.630161162079509229e-01
8.399999999999999689e-01,1.330678752207180848e-01,-1.472668807339449493e-01
8.499999999999999778e-01,1.339860623896409753e-01,-1.309586834047765380e-01
8.599999999999999867e-01,1.350763133097762081e-01,-1.143838013488658045e-01
8.699999999999999956e-01,1.362394447725930324e-01,-9.719802575107296116e-02
8.800000000000000044e-01,1.376806733608978150e-01,-7.948934809348091879e-02
8.900000000000000133e-01,1.392575577949022037e-01,-6.140201722017223085e-02
9.000000000000000222e-01,1.410595732068761210e-01,-4.235727272727275727e-02
9.100000000000000311e-01,1.431868461998803133e-01,-2.290320224719101169e-02
9.200000000000000400e-01,1.454713345521023993e-01,-2.734662921348201409e-03
9.300000000000000488e-01,1.483232541133455429e-01,1.823050222504782672e-02
9.400000000000000577e-01,1.514265255843335600e-01,3.964047399605017535e-02
9.500000000000000666e-01,1.549451610865445472e-01,6.186562211981577047e-02
9.599999999999999645e-01,1.589841335131489952e-01,8.455967017543847275e-02
9.699999999999999734e-01,1.632746992481202697e-01,1.075774396887158452e-01
9.799999999999999822e-01,1.678235714285714331e-01,1.308225758754862356e-01
9.899999999999999911e-01,1.725491695804195758e-01,1.538482210242586856e-01
1.000000000000000000e+00,1.757100000000000051e-01,1.757100000000000051e-01
